stop_id,stop_name
1,Albertson
2,Auburndale
4,Amagansett
8,Amityville
11,Broadway
13,Bridgehampton
14,Stony Brook
16,Bellmore
20,Bethpage
21,Bellport
23,Bellerose
24,Belmont Park
25,Bayside
26,Bay Shore
27,Babylon
29,Brentwood
31,Centre Avenue
32,Cedarhurst
33,Central Islip
36,Country Life Press
38,Copiague
39,Carle Place
40,Cold Spring Harbor
42,Douglaston
44,Deer Park
48,East Hampton
50,East New York
51,East Rockaway
52,East Williston
55,Forest Hills
56,Flushing Main Street
59,Farmingdale
63,Floral Park
64,Freeport
65,Far Rockaway
66,Gibson
67,Glen Cove
68,Garden City
71,Glen Head
72,Great Neck
73,Greenport
74,Great River
76,Glen Street
77,Greenvale
78,Greenlawn
83,Hampton Bays
84,Hempstead
85,Hempstead Gardens
86,Hillside Facility
89,Hollis
90,Hunterspoint Avenue
91,Huntington
92,Hicksville
94,Hewlett
99,Island Park
100,Islip
101,Inwood
102,Jamaica
107,Kew Gardens
111,Kings Park
113,Long Beach
114,Lawrence
117,Lindenhurst
118,Long Island City
119,Locust Manor
120,Little Neck
122,Laurelton
123,Locust Valley
124,Lakeview
125,Lynbrook
126,Mattituck
127,Merillon Avenue
129,Medford
130,Murray Hill
131,Manhasset
132,Mineola
135,Massapequa Park
136,Massapequa
140,Mastic-Shirley
141,Montauk
142,Malverne
148,Nostrand Avenue
149,Nassau Boulevard
152,New Hyde Park
153,Northport
154,Oyster Bay
155,Oceanside
157,Oakdale
162,Plandome
163,Patchogue
164,Port Jefferson
165,Pinelawn
171,Port Washington
175,Queens Village
176,Riverhead
179,Ronkonkoma
180,Rosedale
182,Roslyn
183,Rockville Centre
184,St. Albans
185,Sea Cliff
187,Seaford
190,Southold
191,Southampton
193,St. James
195,Stewart Manor
198,Speonk
199,Mets-Willets Point
202,Smithtown
204,Sayville
205,Syosset
211,Valley Stream
213,Westbury
214,Woodside
215,Wantagh
216,West Hempstead
217,Woodmere
219,Westwood
220,Wyandanch
223,Yaphank-BNL
225,Baldwin
226,Merrick
233,Westhampton
237,Penn Station
241,Atlantic Terminal
349,Grand Central
359,Elmont-UBS Arena
